央卫HUB,#genre#
CCTV4-国际,http://27.10.214.7:8002/udp/225.0.4.176:7980
CCTV4-国际,http://27.10.214.7:8002/udp/225.0.4.3:7980
CCTV4-国际,http://27.12.234.98:8001/udp/225.0.4.176:7980
CCTV4-国际,http://27.12.234.98:8001/udp/225.0.4.3:7980
CCTV4-国际,http://183.191.50.247:9003/hls/4/index.m3u8
CCTV4-国际,http://171.116.254.184:9003/hls/4/index.m3u8
CCTV4-国际,http://60.8.75.178:9002/hls/4/index.m3u8
CCTV4-国际,http://116.117.106.71:4022/udp/239.125.1.214:4120
CCTV4-国际,http://116.117.106.71:4022/udp/239.125.2.64:4120
CCTV4-国际,http://116.117.106.71:4022/udp/239.125.1.141:4130
CCTV4-国际,http://116.117.106.71:4022/udp/239.125.2.197:4120
CCTV4-国际,http://116.117.106.71:4022/udp/239.125.2.196:4120
CCTV4-国际,http://112.226.107.85:4000/udp/239.253.254.111:8000
CCTV4-国际,http://112.226.107.85:4000/udp/239.253.254.186:8000
CCTV4-国际,http://112.226.107.85:4000/udp/239.253.254.187:8000
CCTV4-国际,http://124.165.251.82:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://60.26.16.53:85/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://27.12.12.227:9998/udp/225.0.4.176:7980
CCTV4-国际,http://27.12.12.227:9998/udp/225.0.4.3:7980
CCTV4-国际,http://183.188.22.54:6000/rtp/226.0.2.156:9160
CCTV4-国际,http://183.188.22.54:6000/rtp/226.0.2.21:8080
CCTV4-国际,http://27.8.236.24:8008/udp/225.0.4.176:7980
CCTV4-国际,http://27.8.236.24:8008/udp/225.0.4.3:7980
CCTV4-国际,http://123.118.171.46:6688/rtp/239.3.1.105:8092
CCTV4-国际,http://123.118.171.46:6688/rtp/239.3.1.213:4220
CCTV4-国际,http://123.118.171.46:6688/rtp/239.3.1.214:4220
CCTV4-国际,http://118.79.19.202:6000/rtp/226.0.2.156:9160
CCTV4-国际,http://118.79.19.202:6000/rtp/226.0.2.21:8080
CCTV4-国际,http://111.167.32.120:5002/udp/225.1.1.150:5002
CCTV4-国际,http://121.29.215.146:2083/rtp/239.253.92.251:6141
CCTV4-国际,http://121.29.215.146:2083/rtp/239.253.93.134:6631
CCTV4-国际,http://121.29.215.146:2083/rtp/239.253.93.192:6370
CCTV4-国际,http://121.29.215.146:2083/rtp/239.253.93.193:6371
CCTV4-国际,http://121.19.134.216:808/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://123.14.82.237:9003/hls/5/index.m3u8
CCTV5-体育,http://123.14.82.237:9003/hls/18/index.m3u8
CCTV5-体育,http://157.0.89.207:9003/hls/5/index.m3u8
CCTV5-体育,http://116.147.109.239:9003/hls/5/index.m3u8
CCTV5-体育,http://183.188.22.239:6000/rtp/226.0.2.209:9584
CCTV5-体育,http://183.188.22.239:6000/rtp/226.0.2.168:9256
CCTV5-体育,http://183.188.22.239:6000/rtp/226.0.2.22:8088
CCTV5-体育,http://1.30.247.80:8686/udp/239.125.2.54:4120
CCTV5-体育,http://1.30.247.80:8686/udp/239.125.1.57:5000
CCTV5-体育,http://112.195.88.126:5000/rtp/239.0.0.14:5140
CCTV5-体育,http://112.195.88.126:5000/rtp/239.0.0.22:5140
CCTV5-体育,http://39.80.175.0:85/tsfile/live/2005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://123.129.70.178:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://123.129.70.178:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://113.201.61.98:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5-体育,http://113.201.61.98:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
